Body Shape,Dress size,Breast,Waist,Hips,Weight
Banana,4,34,24,35,55
Hourglass,4,35,23,35,57
Banana,4,34,23.5,35,54
Hourglass,10,38,29,38,72
Hourglass,10,37,25,38,62
Hourglass,10,37,27,37,68
Hourglass,6,35,23.5,35,55
Hourglass,10,37,26,38,66
Banana,4,34,24,35,56
Banana,2,33,24,34,49
Banana,4,34,24,35,55
Hourglass,4,35,23,35,57
Banana,4,34,23.5,35,54
Hourglass,10,38,29,38,72
Hourglass,10,37,25,38,62
Hourglass,10,37,27,37,68
Hourglass,6,35,23.5,35,55
Hourglass,10,37,26,38,66
Banana,4,34,24,35,56
Banana,6,35,23.5,34,56
Apple,12,38,31,40,80
Banana,4,34,23.5,35,52
Hourglass,4,34,24,36,57
Hourglass,6,36,25,36,54
Hourglass,6,35,24,35,53
Hourglass,6,36,24,36,58
Hourglass,8,37,26,38,62
Hourglass,6,35,25,36,53
Hourglass,4,34,25,36,53
Hourglass,8,36,25,37,58
Pear,6,34,25,37,59
Hourglass,6,35,24,35,57
Hourglass,4,34,25,35,54
Hourglass,4,34,24,36,53
Hourglass,6,35,25,36,50
Apple,14,39,32,40,75
Hourglass,12,39,25,39,59
Hourglass,6,36,24,36,58
Banana,2,33,25,34,52
Hourglass,4,34,25,36,54
Pear,8,34,23,38,58
Banana,6,35,26,36,55
Banana,8,37,27,37,63
Hourglass,6,37,27,37,57
Hourglass,6,36,25,36,53
Banana,2,33,25,35,48
Banana,4,35,24,35,49
Hourglass,10,36,29,39,67
Hourglass,8,36,26,37,65
Apple,6,35,26,36,51
Hourglass,8,37,26,37,58
Hourglass,6,35,24,35,56
Banana,2,33,23.5,34,54
Apple,10,37,28,38,62
Banana,4,34,23.5,35,55
Banana,6,36,27,36,57
Banana,4,35,24,35,57
Hourglass,6,36,24,36,54
Hourglass,10,38,28,38,66
Banana,2,34,23,34,49
Hourglass,10,38,28,37,64
Banana,0,32,23,34,48
Hourglass,10,37,28,38,66
Hourglass,8,36,27,38,61
Apple,16,41,33,40,77
Hourglass,8,37,26,38,58
Hourglass,6,36,25,36,56
Pear,6,34,25,37,55
Banana,0,32,24,34,45
Apple,14,39,33,41,86
Apple,14,40,32,40,75
Hourglass,10,38,26,37,62
Pear,8,36,25,39,63
Hourglass,8,37,26,37,58
Hourglass,8,37,26,37,62
Hourglass,6,36,26,37,58
Banana,2,34,24,34,60
,0,32,23,33,40
Hourglass,6,36,26,37,62
Banana,2,33,23,35,50
Hourglass,10,37,28,38,68
Hourglass,12,39,30,40,79
Hourglass,2,34,23,35,51
Banana,2,33,23,35,52
Hourglass,6,36,26,36,58
Hourglass,6,36,25,37,58
Banana,4,35,25,36,51
Pear,N/A,35,25,40,63
Banana,8,36,27,36,60
Pear,6,34,23,38,64
Hourglass,6,36,27,37,61
Hourglass,8,37,26,39,58
Banana,4,35,24,35,55
Hourglass,N/A,38,23,36,58
Hourglass,10,38,26,37,63
Hourglass,8,37,26,37,56
Hourglass,6,36,27,36,57
Hourglass,8,37,26,37,67
Banana,8,36,26,36,56
Banana,8,36,26,36,61
Hourglass,10,38,27,37,69
Hourglass,12,38,29,40,74
Hourglass,10,38,24,39,66
Hourglass,8,37,25,37,63
Banana,4,34,24,35,53
Hourglass,6,36,26,36,56
Hourglass,6,36,25,37,63
Banana,0,31,23,33,44
Banana,8,36,26,36,63
Hourglass,4,34,24,35,59
Hourglass,8,37,26,37,59
Pear,6,35,27,36,59
Apple,N/A,36,37,42,70
Hourglass,10,37,28,39,66
Apple,12,39,28,37,70
Banana,2,33,24,34,49
Banana,2,34,24,34,48
Banana,N/A,31,22,32,40
Banana,2,33,24,34,54
Hourglass,12,39,28,40,65
Hourglass,8,37,26,37,59
Apple,8,37,27,36,57
Hourglass,6,36,26,37,54
Hourglass,6,36,25,36,63
Banana,4,34,24,34,54
Hourglass,6,36,25,36,56
Banana,4,34,24,34,50
Pear,6,35,27,37,61
Banana,0,32,23,33,50
Banana,4,34,24,34,53
Hourglass,6,36,25,36,61
,4,36,25,35,55
Banana,0,33,23,34,55
Banana,4,34,25,35,53
Hourglass,8,36,24,36,57
Apple,18,41,36,39,84
Banana,2,33,24,35,58
Apple,6,36,26,36,53
Hourglass,8,37,26,37,58
Banana,6,35,25,35,51
Hourglass,10,38,26,37,64
Pear,6,35,26,37,58
Hourglass,6,36,26,36,65
Hourglass,10,38,26,37,70
Banana,2,33,24,35,47
Hourglass,10,37,27,39,68
Hourglass,12,41,29,39,70
Hourglass,10,38,26,37,62
Hourglass,N/A,43,27,38,64
Banana,0,33,24,34,48
Hourglass,N/A,36,24,37,52
Banana,8,36,26,36,57
Hourglass,8,36,25,36,54
Hourglass,4,34,24,35,49
Hourglass,8,36,25,36,64
Banana,4,34,24,34,54
Hourglass,6,36,24,36,55
Hourglass,4,36,25,35,61
Hourglass,6,37,24,36,54
Hourglass,14,44,32,41,91
Banana,4,34,25,35,54
Banana,0,33,23,34,49
Hourglass,8,37,25,36,66
Pear,6,35,25,37,54
Hourglass,6,35,26,36,54
Banana,2,33,24,35,52
Hourglass,6,35,24,35,53
Hourglass,8,36,23,35,54
Banana,0,33,25,34,53
Hourglass,4,35,25,35,57
Banana,0,34,24,34,51
Banana,2,34,25,34,52
Hourglass,4,36,24,36,55
Hourglass,N/A,38,26,36,60
Apple,18,45,43,45,91
Hourglass,6,39,27,37,54
Banana,2,34,23,35,54
Apple,6,37,27,36,64
Hourglass,6,40,26,37,62
Hourglass,0,33,23,33,45
Banana,2,33,25,34,54
Banana,2,34,25,35,54
Hourglass,6,36,26,36,64
Hourglass,2,34,25,35,57
Hourglass,2,35,25,35,55
Hourglass,2,37,24,35,57
