Name,Body Shape,Dress size,Breast,Waist,Hips,Bra size,Height,Weight
Danielle Bradbery measurements,Banana,4,34,24,35,34B,168,55
Shirley Jones measurements in 1960’s,Hourglass,4,35,23,35,34C,165,57
Kelsi Taylor measurements,Banana,4,34,23.5,35,34B,168,54
Trisha Yearwood measurements,Hourglass,10,38,29,38,36D,173,72
Cardi B measurements,Hourglass,10,37,25,38,34DD,168,62
Terri Clark measurements,Hourglass,10,37,27,37,36C,179,68
Scarlett Pomers measurements,Hourglass,6,35,23.5,35,34C,160,55
Lauren Alaina measurements,Hourglass,10,37,26,38,36C,168,66
Kacey Musgraves measurements,Banana,4,34,24,35,34B,165,56
Sara Bareilles measurements,Banana,2,33,24,34,34A,165,49
Danielle Bradbery measurements,Banana,4,34,24,35,34B,168,55
Shirley Jones measurements in 1960’s,Hourglass,4,35,23,35,34C,165,57
Kelsi Taylor measurements,Banana,4,34,23.5,35,34B,168,54
Trisha Yearwood measurements,Hourglass,10,38,29,38,36D,173,72
Cardi B measurements,Hourglass,10,37,25,38,34DD,168,62
Terri Clark measurements,Hourglass,10,37,27,37,36C,179,68
Scarlett Pomers measurements,Hourglass,6,35,23.5,35,34C,160,55
Lauren Alaina measurements,Hourglass,10,37,26,38,36C,168,66
Kacey Musgraves measurements,Banana,4,34,24,35,34B,165,56
AJ Michalka measurements,Banana,6,35,23.5,34,34C,160,56
Elle King measurements,Apple,12,38,31,40,36D,168,80
Debbie Gibson measurements,Banana,4,34,23.5,35,34B,168,52
Justine Skye measurements,Hourglass,4,34,24,36,34B,175,57
Jessie James Decker measurements,Hourglass,6,36,25,36,34C,155,54
Melissa O’Neil measurements,Hourglass,6,35,24,35,32C,163,53
Sarah Harding measurements,Hourglass,6,36,24,36,34C,170,58
Erika Jayne measurements,Hourglass,8,37,26,38,34D,165,62
Maren Morris measurements,Hourglass,6,35,25,36,34B,163,53
Janelle Monáe measurements,Hourglass,4,34,25,36,34B,152,53
Normani Kordei measurements,Hourglass,8,36,25,37,34D,163,58
Bebe Rexha measurements,Pear,6,34,25,37,34B,165,59
Louise Redknapp measurements,Hourglass,6,35,24,35,34C,162,57
Halsey measurements,Hourglass,4,34,25,35,32B,163,54
Sofia Carson measurements,Hourglass,4,34,24,36,32B,163,53
Paula Abdul measurements,Hourglass,6,35,25,36,32C,152,50
Chaka Khan measurements,Apple,14,39,32,40,36C,163,75
Mayra Veronica measurements,Hourglass,12,39,25,39,34DD,157,59
Tinashe measurements,Hourglass,6,36,24,36,34B,165,58
Sydney Sierota measurements,Banana,2,33,25,34,32A,160,52
Clare Bowen measurements,Hourglass,4,34,25,36,32B,157,54
Niykee Heaton measurements,Pear,8,34,23,38,32B,168,58
Lauren Jauregui measurements,Banana,6,35,26,36,34A,163,55
Alanis Morissette measurements,Banana,8,37,27,37,34C,163,63
Holly Hagan measurements after weight loss,Hourglass,6,37,27,37,32DD,157,57
Kira Kosarin measurements,Hourglass,6,36,25,36,34B,166,53
Vanessa Paradis measurements,Banana,2,33,25,35,32A,160,48
Camila Cabello measurements,Banana,4,35,24,35,34A,157,49
Nelly Furtado measurements after weight gain,Hourglass,10,36,29,39,34B,158,67
Milena Govich measurements,Hourglass,8,36,26,37,34B,173,65
Kelly Osbourne measurements after weight loss,Apple,6,35,26,36,34A,158,51
Reba McEntire measurements,Hourglass,8,37,26,37,34C,170,58
Leah Renee measurements,Hourglass,6,35,24,35,32C,170,56
Laura Bell Bundy measurements,Banana,2,33,23.5,34,32A,164,54
Charlotte Church measurements,Apple,10,37,28,38,34C,164,62
Eiza Gonzalez measurements,Banana,4,34,23.5,35,32B,173,55
Holly Valance measurements,Banana,6,36,27,36,34B,173,57
Juliette Lewis measurements,Banana,4,35,24,35,34A,168,57
Nichelle Nichols measurements in 1960’s,Hourglass,6,36,24,36,34B,165,54
Traci Lords measurements,Hourglass,10,38,28,38,34D,170,66
Chrissy Costanza measurements,Banana,2,34,23,34,32B,155,49
Cady McClain measurements,Hourglass,10,38,28,37,34D,160,64
Fiona Apple measurements,Banana,0,32,23,34,32AA,157,48
Lisa Whelchel measurements,Hourglass,10,37,28,38,34C,168,66
Leona Lewis measurements,Hourglass,8,36,27,38,34B,170,61
Kim Fields measurements,Apple,16,41,33,40,36DD,152,77
Pixie Lott measurements,Hourglass,8,37,26,38,34C,173,58
Myleene Klass measurements,Hourglass,6,36,25,36,34C,165,56
Jenna von Oÿ measurements,Pear,6,34,25,37,32B,152,55
Cierra Ramirez measurements,Banana,0,32,24,34,30B,155,45
Beth Ditto measurements after weight loss,Apple,14,39,33,41,36C,158,86
Amber Riley measurements after weight loss,Apple,14,40,32,40,36D,160,75
Anneliese van der Pol measurements,Hourglass,10,38,26,37,34D,163,62
Porsha Stewart measurements,Pear,8,36,25,39,34B,173,63
Willa Ford measurements,Hourglass,8,37,26,37,34C,170,58
Molly Ringwald measurements,Hourglass,8,37,26,37,34C,173,62
Idina Menzel measurements,Hourglass,6,36,26,37,34B,163,58
Sutton Foster measurements,Banana,2,34,24,34,32B,175,60
Willow Smith measurements,,0,32,23,33,32AA,152,40
Nancy Ajram measurements,Hourglass,6,36,26,37,34B,168,62
Pia Mia measurements,Banana,2,33,23,35,32A,163,50
Ella Henderson measurements,Hourglass,10,37,28,38,36A,170,68
Sara Ramirez measurements,Hourglass,12,39,30,40,36C,175,79
Madison Beer measurements,Hourglass,2,34,23,35,32B,163,51
Mae Whitman measurements after weight loss,Banana,2,33,23,35,32A,155,52
Rebecca Black measurements,Hourglass,6,36,26,36,34C,165,58
Keke Palmer measurements,Hourglass,6,36,25,37,34B,168,58
Jada Pinkett Smith measurements,Banana,4,35,25,36,34A,152,51
K. Michelle measurements,Pear,N/A,35,25,40,32C,165,63
Shawnee Smith measurements,Banana,8,36,27,36,34B,160,60
Ashanti measurements,Pear,6,34,23,38,32B,160,64
Amy Lee measurements,Hourglass,6,36,27,37,34B,161,61
Jaime Ray Newman measurements,Hourglass,8,37,26,39,34C,163,58
Alona Tal measurements,Banana,4,35,24,35,34A,163,55
Annette Funicello measurements in 1960’s,Hourglass,N/A,38,23,36,34D,160,58
Bernadette Peters measurements,Hourglass,10,38,26,37,34D,160,63
Nia Peeples measurements,Hourglass,8,37,26,37,34C,157,56
Karen David measurements,Hourglass,6,36,27,36,34B,156,57
Kirstie Maldonado measurements,Hourglass,8,37,26,37,34C,162,67
Jennifer Nettles measurements,Banana,8,36,26,36,34B,163,56
Cher measurements,Banana,8,36,26,36,34B,174,61
Kym Marsh measurements,Hourglass,10,38,27,37,34D,163,69
Tamar Braxton measurements,Hourglass,12,38,29,40,34D,170,74
Erica Mena measurements,Hourglass,10,38,24,39,32A,175,66
Courtney Henggeler measurements,Hourglass,8,37,25,37,34C,175,63
Celine Dion measurements,Banana,4,34,24,35,32B,171,53
Alyson Stoner measurements,Hourglass,6,36,26,36,34B,157,56
Tove Lo measurements,Hourglass,6,36,25,37,34B,171,63
Sabrina Carpenter measurements,Banana,0,31,23,33,30A,152,44
Nadia Forde measurements,Banana,8,36,26,36,34B,170,63
Brie Larson measurements,Hourglass,4,34,24,35,32B,170,59
Charli XCX measurements,Hourglass,8,37,26,37,34C,160,59
Lorde measurements,Pear,6,35,27,36,34A,165,59
Raini Rodriguez measurements,Apple,N/A,36,37,42,34B,157,70
Jesy Nelson measurements,Hourglass,10,37,28,39,34C,160,66
Maria Brink measurements,Apple,12,39,28,37,34DD,165,70
Judy Garland measurements,Banana,2,33,24,34,32A,151,49
Becky G measurements,Banana,2,34,24,34,32B,150,48
G Hannelius measurements,Banana,N/A,31,22,32,30A,157,40
Sasha Pieterse measurements,Banana,2,33,24,34,32A,168,54
Raven-Symoné measurements,Hourglass,12,39,28,40,36C,157,65
LeAnn Rimes measurements,Hourglass,8,37,26,37,34C,165,59
Beverley Mitchell measurements,Apple,8,37,27,36,34C,157,57
Chanel West Coast measurements,Hourglass,6,36,26,37,34B,160,54
Patina Miller measurements,Hourglass,6,36,25,36,34B,168,63
Becca Tobin measurements,Banana,4,34,24,34,32B,157,54
Kat Graham measurements,Hourglass,6,36,25,36,34B,157,56
Vanessa Morgan measurements,Banana,4,34,24,34,32B,160,50
Ellie Goulding measurements,Pear,6,35,27,37,34A,165,61
Cher Llloyd measurements,Banana,0,32,23,33,30B,157,50
Janel Parrish measurements,Banana,4,34,24,34,32B,157,53
Delta Goodrem measurements,Hourglass,6,36,25,36,34B,178,61
Billie Piper measurements,,4,36,25,35,34B,165,55
Melissa Benoist measurements,Banana,0,33,23,34,32A,173,55
Stefanie Scott measurements,Banana,4,34,25,35,32B,163,53
Indiana Evans measurements,Hourglass,8,36,24,36,34B,165,57
Brooke Elliott measurements,Apple,18,41,36,39,38C,165,84
Jessie J measurements,Banana,2,33,24,35,32A,175,58
Jana Kramer measurements,Apple,6,36,26,36,34B,163,53
Jessie James measurements,Hourglass,8,37,26,37,34C,155,58
Laura Marano measurements,Banana,6,35,25,35,34A,157,51
Aubrey O’Day measurements,Hourglass,10,38,26,37,34D,163,64
Selena Quintanilla measurements,Pear,6,35,26,37,32C,168,58
Minnie Driver measurements,Hourglass,6,36,26,36,34B,178,65
Marina Diamandis measurements,Hourglass,10,38,26,37,34D,173,70
Olivia Holt measurements,Banana,2,33,24,35,32A,157,47
Vanessa Williams measurements,Hourglass,10,37,27,39,34C,168,68
Kim Zolciak measurements,Hourglass,12,41,29,39,36DD,175,70
Doris Day measurements in 1950’s,Hourglass,10,38,26,37,36B,170,62
Anna Semenovich measurements,Hourglass,N/A,43,27,38,38E,155,64
Mía Maestro measurements,Banana,0,33,24,34,32A,163,48
Teyana Taylor measurements,Hourglass,N/A,36,24,37,32D,158,52
Jamie Lynn Spears measurements,Banana,8,36,26,36,34B,164,57
Violante Placido measurements,Hourglass,8,36,25,36,34B,170,54
Dove Cameron measurements,Hourglass,4,34,24,35,32B,157,49
Kimberly Perry measurements,Hourglass,8,36,25,36,34B,175,64
Perrie Edwards measurements,Banana,4,34,24,34,32B,160,54
Roselyn Sanchez measurements,Hourglass,6,36,24,36,34B,165,55
Stevie Nicks,Hourglass,4,36,25,35,34B,156,61
Julie London measurements,Hourglass,6,37,24,36,34C,160,54
Jill Scott measurements,Hourglass,14,44,32,41,38DDD,168,91
Taylor Momsen measurements,Banana,4,34,25,35,32B,173,54
Emily Browning measurements,Banana,0,33,23,34,32A,155,49
Katey Sagal measurements,Hourglass,8,37,25,36,34C,175,66
Adrienne Bailon measurements,Pear,6,35,25,37,32C,150,54
Nicole Beharie measurements,Hourglass,6,35,26,36,32C,155,54
Charlotte Gainsbourg measurements,Banana,2,33,24,35,32A,173,52
Mae West measurements,Hourglass,6,35,24,35,32C,152,53
Betty Grable measurements,Hourglass,8,36,23,35,34B,163,54
Hayley Williams measurements,Banana,0,33,25,34,32A,157,53
Chloe Bennet measurements,Hourglass,4,35,25,35,32C,168,57
Brenda Song measurements,Banana,0,34,24,34,32B,158,51
Carly Rae Jepsen measurements,Banana,2,34,25,34,32B,157,52
Aly Michalka measurements,Hourglass,4,36,24,36,34B,173,55
Mel B measurements,Hourglass,N/A,38,26,36,34D,165,60
Queen Latifah measurements,Apple,18,45,43,45,40DD,178,91
Marie Osmond measurements,Hourglass,6,39,27,37,36C,165,54
Samantha Barks measurements,Banana,2,34,23,35,32B,170,54
Daniella Monet measurements,Apple,6,37,27,36,34C,160,64
Sara Evans measurements,Hourglass,6,40,26,37,36D,175,62
Kristin Chenoweth measurements,Hourglass,0,33,23,33,30C,150,45
Gwen Stefani measurements,Banana,2,33,25,34,32A,168,54
Bridgit Mendler measurements,Banana,2,34,25,35,32B,168,54
Jordin Sparks measurements,Hourglass,6,36,26,36,34B,178,64
Emily Osment measurements,Hourglass,2,34,25,35,32B,159,57
Rita Ora measurements,Hourglass,2,35,25,35,32C,166,55
Madonna measurements,Hourglass,2,37,24,35,34C,164,57
